County,Population (January 2023),Race/Ethnicity: American Indian (2023),Race/Ethnicity: Asian (2023),Race/Ethnicity: Black (2023),Race/Ethnicity: Hispanic (2023),Race/Ethnicity: Multi-Racial/Ethnic (2023),Race/Ethnicity: Hawaiian/ Pacific Island (2023),Race/Ethnicity: White (2023),Age: 0-5 (2023),Age: 6-17 (2023),Age: 18-64 (2023),Age: 65+ (2023),2021 All causes (total),2021 Alzheimer's disease,2021 Malignant neoplasms,2021 Chronic lower respiratory diseases,2021 Diabetes mellitus,2021 Assault (homicide),2021 Diseases of heart,2021 Essential hypertension and hypertensive renal disease,2021 Accidents (unintentional injuries),2021 Chronic liver disease and cirrhosis,"2021 Nephritis, nephrotic syndrome and nephrosis",2021 Parkinson's disease,2021 Influenza and pneumonia,2021 Cerebrovascular diseases,2021 Intentional self-harm (suicide)
San Luis Obispo,278348,1334,10514,4487,66736,7509,348,190044,15017,32432,169126,64397,2490.0,75.0,519.0,23.0,12.0,2.0,406.0,12.0,164.0,11.0,23.0,12.0,10.0,244.0,12.0
San Mateo,737644,1036,229299,16216,174620,28715,9240,273955,47328,114495,407676,163582,5086.0,360.0,1108.0,104.0,80.0,7.0,1128.0,23.0,217.0,22.0,26.0,25.0,12.0,382.0,12.0
Santa Barbara,440557,1829,23839,7579,210360,11134,771,190857,32241,67419,267997,78712,3807.0,167.0,669.0,37.0,12.0,10.0,790.0,12.0,278.0,12.0,12.0,12.0,10.0,278.0,12.0
Santa Clara,1886079,3821,750276,45110,465222,61047,7166,544886,120565,293490,1124648,338825,12301.0,523.0,2600.0,275.0,474.0,27.0,2327.0,431.0,758.0,194.0,47.0,168.0,49.0,765.0,123.0
Santa Cruz,262051,1069,12185,2683,91706,8204,327,150009,13848,34811,160082,57442,1947.0,30.0,406.0,12.0,12.0,7.0,302.0,11.0,181.0,12.0,11.0,10.0,8.0,63.0,11.0
Shasta,179436,4086,5750,1951,20313,7148,282,139925,11443,25676,102017,40319,3023.0,134.0,458.0,180.0,12.0,9.0,579.0,12.0,173.0,12.0,11.0,11.0,12.0,90.0,12.0
Sierra,3193,45,14,17,309,67,1,2739,121,312,1507,1252,11.0,0.0,9.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Siskiyou,43548,1712,705,564,6001,2074,106,32367,2190,5598,22822,12919,641.0,12.0,71.0,11.0,9.0,5.0,108.0,6.0,11.0,10.0,2.0,4.0,4.0,12.0,10.0
Solano,443749,1828,70934,59248,126596,24542,3893,156507,30606,66403,262741,83798,4005.0,206.0,816.0,116.0,132.0,12.0,621.0,41.0,237.0,22.0,22.0,12.0,12.0,278.0,12.0
Sonoma,478174,3319,21614,7938,136073,14723,1572,293978,26904,64168,276551,111594,4578.0,245.0,1005.0,186.0,69.0,7.0,833.0,36.0,262.0,47.0,11.0,12.0,12.0,260.0,12.0
Stanislaus,545939,2716,30994,14995,271156,15653,3994,209193,43526,98654,325141,81380,6451.0,218.0,947.0,244.0,226.0,5.0,1174.0,35.0,390.0,145.0,90.0,22.0,32.0,318.0,12.0
Sutter,98952,931,17038,2115,32578,3543,291,43018,7577,16515,57623,17799,632.0,12.0,129.0,12.0,10.0,3.0,69.0,9.0,12.0,7.0,7.0,6.0,1.0,12.0,7.0
Tehama,64271,1183,892,529,17753,1841,112,42361,4685,10065,36164,13757,721.0,11.0,113.0,12.0,10.0,2.0,92.0,8.0,11.0,10.0,1.0,5.0,4.0,11.0,10.0
Trinity,15939,645,340,91,1220,738,32,12899,687,1653,8688,4937,74.0,2.0,10.0,8.0,2.0,1.0,12.0,1.0,10.0,3.0,0.0,1.0,3.0,1.0,4.0
Tulare,475064,3305,16086,6237,317073,7027,440,126312,40705,97087,274592,64096,4097.0,237.0,599.0,108.0,71.0,12.0,720.0,56.0,279.0,74.0,12.0,11.0,22.0,164.0,12.0
Tuolumne,54590,780,711,863,6979,1507,136,41956,2789,5799,27998,16346,789.0,11.0,80.0,11.0,12.0,2.0,123.0,6.0,12.0,8.0,5.0,9.0,6.0,12.0,8.0
Ventura,825653,2418,62245,14826,362700,21220,1490,359527,53825,130884,482736,156981,6838.0,461.0,1300.0,272.0,227.0,8.0,1384.0,104.0,439.0,148.0,12.0,71.0,12.0,347.0,24.0
Yolo,220880,1134,33189,5827,72548,10072,909,99788,12569,31029,146476,33393,1295.0,22.0,275.0,12.0,12.0,4.0,202.0,11.0,12.0,11.0,9.0,11.0,8.0,33.0,9.0
Yuba,82677,1231,5959,3306,25190,4083,360,42844,7070,15467,48767,11669,1003.0,10.0,99.0,12.0,10.0,6.0,209.0,8.0,12.0,8.0,10.0,6.0,10.0,12.0,9.0
